date,q120,q55,q64,q66,q69
2014-01-09 09:00:00,-0.99,-8.01,-4.63,-1.53,-9.04
2014-01-09 11:00:00,-0.99,-8.01,-4.61,-1.53,-9.03
2014-01-09 13:00:00,-0.99,-8.02,-4.6,-1.53,-9.02
2014-01-09 15:00:00,-0.99,-8.03,-4.59,-1.52,-9.0
2014-01-09 17:00:00,-0.99,-8.03,-4.61,-1.53,-9.01
2014-01-09 19:00:00,-0.99,-8.03,-4.61,-1.53,-9.05
2014-01-09 21:00:00,-0.99,-8.05,-4.62,-1.54,-9.07
2014-01-09 23:00:00,-0.99,-8.06,-4.61,-1.53,-9.08
2014-01-10 01:00:00,-0.99,-8.05,-4.61,-1.53,-9.1
2014-01-10 03:00:00,-0.99,-8.04,-4.6,-1.53,-9.11
2014-01-10 05:00:00,-0.99,-8.02,-4.61,-1.52,-9.11
2014-01-10 07:00:00,-0.99,-8.0,-4.62,-1.53,-9.12
2014-01-10 09:00:00,-1.0,-8.03,-4.62,-1.53,-9.13
2014-01-10 11:00:00,-1.0,-8.09,-4.61,-1.54,-9.11
2014-01-10 13:00:00,-1.0,-8.08,-4.59,-1.54,-9.1
2014-01-10 15:00:00,-0.99,-8.07,-4.59,-1.53,-9.07
2014-01-10 17:00:00,-0.99,-8.08,-4.6,-1.54,-9.06
2014-01-10 19:00:00,-0.99,-8.11,-4.61,-1.55,-9.07
2014-01-10 21:00:00,-1.0,-8.11,-4.61,-1.55,-9.11
2014-01-10 23:00:00,-1.0,-8.11,-4.61,-1.54,-9.12
2014-01-11 01:00:00,-1.0,-8.09,-4.61,-1.54,-9.13
2014-01-11 03:00:00,-1.0,-8.07,-4.6,-1.53,-9.14
2014-01-11 05:00:00,-1.0,-8.06,-4.61,-1.53,-9.13
2014-01-11 07:00:00,-0.99,-8.03,-4.61,-1.53,-9.09
2014-01-11 09:00:00,-1.0,-8.02,-4.62,-1.54,-9.06
2014-01-11 11:00:00,-1.0,-8.09,-4.62,-1.55,-9.05
2014-01-11 13:00:00,-1.0,-8.07,-4.6,-1.54,-9.06
2014-01-11 15:00:00,-1.0,-8.05,-4.6,-1.54,-9.089
2014-01-11 17:00:00,-1.0,-8.04,-4.6,-1.55,-9.15
2014-01-11 19:00:00,-0.99,-8.07,-4.62,-1.56,-9.1
2014-01-11 21:00:00,-1.0,-8.07,-4.62,-1.55,-9.09
2014-01-11 23:00:00,-1.0,-8.08,-4.62,-1.55,-9.08
2014-01-12 01:00:00,-1.0,-8.07,-4.62,-1.55,-9.07
2014-01-12 03:00:00,-1.0,-8.06,-4.61,-1.54,-9.06
2014-01-12 05:00:00,-1.0,-8.05,-4.61,-1.54,-9.07
